"System Installation","Instalación del Sistema"
"Branch '{0}' created successfully!","¡Sucursal '{0}' creada con éxito!"
"Error creating branch: {0}","Error al crear sucursal: {0}"
"Please enter a branch name.","Por favor ingresa un nombre para la sucursal."
"No active company session found. Please log in again.","No se encontró una sesión de empresa activa. Por favor, inicia sesión de nuevo."
"Company not found in database.","Empresa no encontrada en la base de datos."
"Associated invoices and stock are linked to this ID.","Las facturas y el inventario asociados están vinculados a este ID."
"No branches registered yet for this company.","No hay sucursales registradas aún para esta empresa."
"Register New Branch","Registrar Nueva Sucursal"
"Fill in the details to add a new location.","Completa los detalles para agregar una nueva ubicación."
"e.g., Downtown Branch","Ej: Sucursal Centro"
"Please enter a valid branch name.","Por favor ingresa un nombre de sucursal válido."
"Administration: Companies & Branches","Administración: Empresas y Sucursales"
"🏢 My Company","🏢 Mi Empresa"
"🌐 All Companies","🌐 Todas las Empresas"
"Active Workspace: {0}","Espacio de Trabajo Activo: {0}"
"System Companies","Empresas del Sistema"
"ID: {0} | Branches: {1}","ID: {0} | Sucursales: {1}"
"Register New Company","Registrar Nueva Empresa"
"New Company Name","Nombre de la Nueva Empresa"
"Create Company","Crear Empresa"
"Company '{0}' registered!","¡Empresa '{0}' registrada!"
"Only administrators can register new companies.","Solo los administradores pueden registrar nuevas empresas."
"Branch created!","¡Sucursal creada!"
"Inventory Management","Gestión de Inventario"
"January","Enero"
"February","Febrero"
"March","Marzo"
"April","Abril"
"May","Mayo"
"June","Junio"
"July","Julio"
"August","Agosto"
"September","Septiembre"
"October","Octubre"
"November","Noviembre"
"December","Diciembre"
"Query and Upload Filters","Filtros de Consulta y Carga"
"Branch","Sucursal"
"Month","Mes"
"Year","Año"
"No branches found. Please create one in Administration.","⚠️ No hay sucursales. Crea una en Administración."
"Upload New Inventory (CSV/Excel)","➕ Subir Nuevo Inventario (CSV/Excel)"
"Select file","Seleccionar archivo"
"Preview of the data to be uploaded:","Vista previa de los datos a cargar:"
"Confirm Upload to {0}","🚀 Confirmar Carga en {0}"
"Inventory updated successfully!","✅ ¡Inventario actualizado exitosamente!"
"Error during upload: {0}","Error al cargar: {0}"
"File reading error: {0}","Error al leer el archivo: {0}"
"Inventory List: {0} ({1} {2})","📋 Inventario: {0} ({1} {2})"
"Database View","🗄️ Datos en Base"
"Results with Tax (ISV)","📊 Resultados con ISV"
"Final Price","Precio Final"
"Tax (ISV)","ISV L."
"Total","Total"
"Net Subtotal","📦 Subtotal Neto"
"Total Tax (ISV)","💰 ISV Total"
"GRAND TOTAL","🏆 TOTAL FINAL"
"No products registered for this period.","No hay productos registrados para este periodo."
"Detailed Invoice Generator","Generador de Facturas Detalladas"
"Period & Branch Selection","Selección de Periodo y Sucursal"
"Target Branch","Sucursal Destino"
"Month to Generate","Mes a Generar"
"Warning: {0} invoices already exist for this period.","Atención: Ya existen {0} facturas para este periodo."
"Danger Zone: Clear History to Regenerate","Zona de Peligro: Limpiar Historial"
"Delete {0} Invoices","Eliminar {0} Facturas"
"History cleared successfully!","¡Historial eliminado con éxito!"
"No inventory loaded for {0} this month. Please upload stock first.","No hay inventario para {0} este mes. Por favor, carga el stock primero."
"Available Inventory: L. {0}","Inventario Disponible: L. {0}"
"Billing Parameters","Parámetros de Facturación"
"Customer (Empty = Random)","Cliente (Vacío = Aleatorio)"
"e.g., Final Consumer","Ej: Consumidor Final"
"Starting Correlative","Correlativo Inicial"
"Max Items per Invoice","Máx. ítems por Factura"
"Monday","Lunes"
"Tuesday","Martes"
"Wednesday","Miércoles"
"Thursday","Jueves"
"Friday","Viernes"
"Saturday","Sábado"
"Sunday","Domingo"
"Allowed Days","Días Permitidos"
"Start Random Generation","Iniciar Generación Aleatoria"
"Invalid correlative format. Expected: 000-000-00-00000000","Formato de correlativo inválido. Se espera: 000-000-00-00000000"
"Please select at least one day of the week.","Por favor, selecciona al menos un día de la semana."
"Successfully generated {0} invoices!","¡Se generaron exitosamente {0} facturas!"
"History & PDF Generation","Historial y Generación de PDF"
"Total Monthly Billing","Facturación Total del Mes"
"Generate Invoices PDF (One per page)","Generar PDF de Facturas (Una por página)"
"Processing documents...","Procesando documentos..."
"⬇️ Download Ready PDF File","⬇️ Descargar Archivo PDF Listo"
"Error generating PDF: {0}","Error al generar PDF: {0}"
"Invoice Records","Registros de Facturas"
"Invoice No.","No. Factura"
"Customer","Cliente"
"No invoices found for this period.","No se encontraron facturas para este periodo."
